source_key,target_key,ref_type
aciman:1991,kronegger:1991,depends_on
ackerly:2000,shapiro_i-macedo:2000,depends_on
ackerman_a:2003,frank_dh-leaman:2003,depends_on
ackerman_a:2009,nadler_sm-rudavsky:2009,depends_on
ackerman_b:1980a,pennock_jr-chapman:1980,depends_on
ackerman_b:2011,gosseries-vanderborght:2011,depends_on
ackerman_d:1980a,pollock_jl:1980,further_ref
ackerman_d:1985,tomberlin-vaninwagen:1985,depends_on
ackerman_fe:1987,phil-perspectives:1987,depends_on
ackerman_fe:1989,almog-etal:1989,depends_on
ackerman_fe:1990,phil-perspectives:1990,depends_on
ackerman_fe:1992,ullmannmargalit:1992,depends_on
ackerman_fe:1994,phil-perspectives:1994,depends_on
ackerman_fe:1995,phil-perspectives:1995,depends_on
ackerman_fe:1995b,savellos-yalcin:1995,depends_on
ackerman_fe:1998,midwest:1998,depends_on
ackerman_fe:1999,midwest:1999,depends_on
ackerman_fe:2000,midwest:2000,depends_on
ackerman_fe:2002,midwest:2002,depends_on
ackerman_fe:2007,steinbock_b:2007,depends_on
ackerman_fe:2007a,rhodes_r-etal:2007,depends_on
ackerman_fe:2018,boonin_d:2018,depends_on
ackerman_j:2010,kallendorf_h:2010,depends_on
ackerman_r-thompson:2018,ball_lj-thompson:2018,depends_on
ackermann_r:1967a,rescher:1967,depends_on
ackermann_r:1967a,rescher:1967f,further_ref
ackermann_r:1969b,freeman_e-sellars:1971,further_ref
ackermann_r:1969c,davis_jw-etal:1969,depends_on
ackermann_r:1969d,davis_jw-etal:1969,depends_on
ackermann_r:1969d,salmon_wc:1969a,further_ref
ackermann_r:1969d,skyrms:1969,further_ref
ackermann_r:1972,rudner_r-scheffler:1972,depends_on
ackermann_r:1974,gram_ms-klemke:1974,depends_on
ackermann_r:1987,fine_a-machamer:1987,depends_on
ackermann_r:1991,fine_a-etal:1991,depends_on
ackermann_r:1991a,mahalingamcarr-carr:1991,depends_on
ackermann_w:1961,barhillel-etal:1961,depends_on
ackrill:1965,ackrill:1997,further_ref
ackrill:1965,bambrough_r:1965,depends_on
ackrill:1966,ackrill:1997,further_ref
ackrill:1970,ackrill:1997,further_ref
ackrill:1970,wood_op-pichter:1970,depends_on
ackrill:1971,ackrill:1997,further_ref
ackrill:1971,vlastos:1971,depends_on
