id,institution_key,name_latex,name_unicode,default_address
111,fachbereich_mathematik_technische_hochschule_darmstadt,"Fachbereich Mathematik, Technische Hochschule Darmstadt","Fachbereich Mathematik, Technische Hochschule Darmstadt",
112,centrale_interfaculteit_reijksuniversiteit_utrecht,"Centrale Interfaculteit, Reijksuniversiteit Utrecht","Centrale Interfaculteit, Reijksuniversiteit Utrecht",
113,southern_illinois_university_press,Southern Illinois University Press,Southern Illinois University Press,
114,logical_grammar_reports_department_of_linguistics_university_of_g_o_teborg,"Logical Grammar Reports, Department of Linguistics, University of G{\""o}teborg","Logical Grammar Reports, Department of Linguistics, University of Göteborg",
115,department_of_computer_science_university_of_chicago,"Department of Computer Science, University of Chicago","Department of Computer Science, University of Chicago",
116,university_of_cambridge_computer_laboratory,University of Cambridge Computer Laboratory,University of Cambridge Computer Laboratory,
117,center_for_machine_translation_carnegie_mellon_university,"Center for Machine Translation, Carnegie-Mellon University","Center for Machine Translation, Carnegie-Mellon University",
118,school_of_social_sciences_university_of_california_at_irvine,"School of Social Sciences, University of California at Irvine","School of Social Sciences, University of California at Irvine",
119,faculty_of_law,Faculty of Law,Faculty of Law,
120,centrum_voor_wiskunde_en_informatica_report_sen_r9922,"Centrum voor Wiskunde en Informatica, Report SEN-R9922","Centrum voor Wiskunde en Informatica, Report SEN-R9922",
121,center_for_the_study_of_language_and_information,Center for the Study of Language {and} Information,Center for the Study of Language and Information,
122,artificial_intelligence_laboratory_the_university_of_texas_at_austin,"Artificial Intelligence Laboratory, The University of Texas at Austin","Artificial Intelligence Laboratory, The University of Texas at Austin",
123,coins_university_of_massachusetts,"COINS, University of Massachusetts","COINS, University of Massachusetts",
124,xerox_palto_alto_research_center,Xerox Palto Alto Research Center,Xerox Palto Alto Research Center,
125,institute_for_research_in_cognitive_science,Institute for Research in Cognitive Science,Institute for Research in Cognitive Science,
126,school_of_computer_applications_dublin_city_university,"School of Computer Applications, Dublin City University","School of Computer Applications, Dublin City University",
127,department_of_computer_science_university_of_illinois_at_urbana_champaign,"Department of Computer Science, University of Illinois at Urbana-Champaign","Department of Computer Science, University of Illinois at Urbana-Champaign",
128,department_of_philosophy_university_of_utrecht,"Department of Philosophy, University of Utrecht","Department of Philosophy, University of Utrecht",
129,department_of_computing_science_university_of_alberta,"Department of Computing Science, University of Alberta","Department of Computing Science, University of Alberta",
130,indiana_university_research_center_in_anthropology_folklore_and_linguistics,"Indiana University Research Center in Anthropology, Folklore, and Linguistics","Indiana University Research Center in Anthropology, Folklore, and Linguistics",
131,department_of_computer_science_yale_university,"Department of Computer Science, Yale University","Department of Computer Science, Yale University",
132,computer_science_department_stanford_university,"Computer Science Department, Stanford University","Computer Science Department, Stanford University",
133,universit_e_toulouse_iii_paul_sabatier,"Universit{\'e} Toulouse III, Paul Sabatier","Université Toulouse III, Paul Sabatier",
134,gothenburg_papers_in_theoretical_linguistics_dept_of_linguistics_univ_of_g_o_teborg,"Gothenburg Papers in Theoretical Linguistics, Dept.~of Linguistics, Univ.~of G{\""o}teborg","Gothenburg Papers in Theoretical Linguistics, Dept. of Linguistics, Univ. of Göteborg",
135,university_of_british_columbia_computer_science_department,"University of British Columbia, Computer Science Department","University of British Columbia, Computer Science Department",
136,carnegie_mellon_university,Carnegie Mellon University,Carnegie Mellon University,
137,universit_a_degli_studia_di_padova,Universit{\'a} degli Studia di Padova,Universitá degli Studia di Padova,
138,computer_laboratory_university_of_cambridge,"Computer Laboratory, University of Cambridge","Computer Laboratory, University of Cambridge",
139,department_of_linguistics_university_of_texas,"Department of Linguistics, University of Texas","Department of Linguistics, University of Texas",
140,victorian_centre_for_the_history_and_philosophy_of_science_la_trobe_university,"Victorian Centre for the History and Philosophy of Science, La Trobe University","Victorian Centre for the History and Philosophy of Science, La Trobe University",
141,institute_for_logic_language_and_computation_university_of_amsterdam,"Institute for Logic, Language, and Computation, University of Amsterdam","Institute for Logic, Language, and Computation, University of Amsterdam",
142,linguistics_department_the_ohio_state_university,"Linguistics Department, The Ohio State University","Linguistics Department, The Ohio State University",
143,department_of_ee_cs_university_of_wisconsin_milwaukee,"Department of EE\&CS, University of Wisconsin-Milwaukee","Department of EE&CS, University of Wisconsin-Milwaukee",
144,seminar_f_u_r_nat_u_rlich_sprachliche_systems,"Seminar f{\""u}r nat{\""u}rlich-sprachliche Systems",Seminar für natürlich-sprachliche Systems,
145,center_for_cognitive_science_rutgers_university,"Center for Cognitive Science, Rutgers University","Center for Cognitive Science, Rutgers University",
146,mit_artificial_intelligence_laboratory,{MIT} Artificial Intelligence Laboratory,MIT Artificial Intelligence Laboratory,
147,philosophische_fakult_a_t_institut_f_u_r_philosophie_technische_universit_a_t,"Philosophische Fakult{\""a}t, Institut f{\""u}r Philosophie, Technische Universit{\""a}t","Philosophische Fakultät, Institut für Philosophie, Technische Universität",
148,rand_corporation,{RAND} Corporation,RAND Corporation,
149,universiteit_antwerpen,Universiteit Antwerpen,Universiteit Antwerpen,
150,summer_institute_of_linguistics,Summer Institute of Linguistics,Summer Institute of Linguistics,
151,bolt_beranek_and_newman_inc,"Bolt, Beranek and Newman, Inc.","Bolt, Beranek and Newman, Inc.",
152,cornell_university_computer_science_department,"Cornell University, Computer Science Department","Cornell University, Computer Science Department",
153,ohio_state_university,Ohio State University,Ohio State University,
154,max_plank_institute_for_biophysical_chemistry,Max Plank Institute for Biophysical Chemistry,Max Plank Institute for Biophysical Chemistry,
155,intelligent_systems_program_university_of_pittsburgh,"Intelligent Systems Program, University of Pittsburgh","Intelligent Systems Program, University of Pittsburgh",
156,computer_science_department_university_of_sydney,"Computer Science Department, University of Sydney","Computer Science Department, University of Sydney",
157,department_of_computer_science_university_of_new_hampshire,"Department of Computer Science, University of New Hampshire","Department of Computer Science, University of New Hampshire",
158,department_of_computer_science_hebrew_university,"Department of Computer Science, Hebrew University","Department of Computer Science, Hebrew University",
159,massachusetts_institute_of_technology_laboratory_for_computer_science,Massachusetts Institute of Technology Laboratory for Computer Science,Massachusetts Institute of Technology Laboratory for Computer Science,
160,schlumberger,Schlumberger,Schlumberger,
161,computer_and_information_science_department_university_of_pennsylvania,"Computer and Information Science Department, University of Pennsylvania","Computer and Information Science Department, University of Pennsylvania",
162,laboratoire_formes_et_intelligence_artificielle_institut_blaise_pascal_universit_e_paris_vi,"Laboratoire Formes et Intelligence Artificielle, Institut Blaise Pascal, Universit\'{e} Paris VI","Laboratoire Formes et Intelligence Artificielle, Institut Blaise Pascal, Université Paris VI",
163,laboratory_for_computational_linguistics_carnegie_mellon_university,"Laboratory for Computational Linguistics, Carnegie Mellon University","Laboratory for Computational Linguistics, Carnegie Mellon University",
164,university_of_southern_california,University of Southern California,University of Southern California,
