id,publisher_key,name_latex,name_unicode,default_address
182,editions-de-la-loupe,{\'E}ditions de la Loupe,Éditions de la Loupe,
183,editions-de-la-maison-des-sciences-de-l-homme,{\'E}ditions de la Maison des Sciences de l'Homme,Éditions de la Maison des Sciences de l'Homme,
184,editions-de-la-passion,{\'E}ditions de la passion,Éditions de la passion,
185,editions-de-la-transparence,{\'E}ditions de la transparence,Éditions de la transparence,
186,editions-de-minuit,{\'E}ditions de Minuit,Éditions de Minuit,
187,editions-des-arenes,{\'E}ditions des Ar{\`e}nes,Éditions des Arènes,
188,editions-des-equateurs,{\'E}ditions des Equateurs,Éditions des Equateurs,
189,editions-du-beffroi,{\'E}ditions du Beffroi,Éditions du Beffroi,
190,editions-du-cedre,{\'E}ditions du C{\`e}dre,Éditions du Cèdre,
191,editions-du-centre-national-de-la-recherche-scientifique,{\'E}ditions du Centre national de la recherche scientifique,Éditions du Centre national de la recherche scientifique,
192,editions-du-cerf,{\'E}ditions du Cerf,Éditions du Cerf,
193,editions-du-griffon,{\'E}ditions du Griffon,Éditions du Griffon,
194,editions-du-jasmin,{\'E}ditions du Jasmin,Éditions du Jasmin,
195,editions-du-passant,{\'E}ditions du Passant,Éditions du Passant,
196,editions-du-septentrion,{\'E}ditions du Septentrion,Éditions du Septentrion,
197,editions-du-seuil,{\'E}ditions du Seuil,Éditions du Seuil,
198,editions-du-sextant,{\'E}ditions du Sextant,Éditions du Sextant,
199,editions-du-temps,{\'E}ditions du Temps,Éditions du Temps,
200,editions-ernest-leroux,{\'E}ditions Ernest Leroux,Éditions Ernest Leroux,
201,editions-eyrolles,{\'E}ditions Eyrolles,Éditions Eyrolles,
202,editions-france-tosho,{\'E}ditions France Tosho,Éditions France Tosho,
203,editions-garnier-freres,{\'E}ditions Garnier Fr{\`e}res,Éditions Garnier Frères,
205,editions-grasset-et-fasquelles,{\'E}ditions Grasset et Fasquelles,Éditions Grasset et Fasquelles,
206,editions-hermann,{\'E}ditions Hermann,Éditions Hermann,
207,editions-hier-et-aujourdhui,{\'E}ditions Hier et Aujourd'hui,Éditions Hier et Aujourd'hui,
208,editions-jerome-millon,{\'E}ditions J{\'e}r{\^o}me Millon,Éditions Jérôme Millon,
209,editions-jacqueline-chambon,{\'E}ditions Jacqueline Chambon,Éditions Jacqueline Chambon,
210,editions-kime,{\'E}ditions Kim{\'e},Éditions Kimé,
211,editions-lage-d-homme,{\'E}ditions L'{\^A}ge d'Homme,Éditions L'Âge d'Homme,
212,editions-la-decouverte,{\'E}ditions La D{\'e}couverte,Éditions La Découverte,
213,editions-mediter,{\'E}ditions M-editer,Éditions M-editer,
214,editions-markus-haller,{\'E}ditions Markus Haller,Éditions Markus Haller,
215,editions-melchior,{\'E}ditions Melchior,Éditions Melchior,
216,editions-odile-jacob,{\'E}ditions Odile Jacob,Éditions Odile Jacob,
217,editions-osiris,{\'E}ditions Osiris,Éditions Osiris,
218,editions-ousia,{\'E}ditions Ousia,Éditions Ousia,
219,editions-patino,{\'E}ditions Patino,Éditions Patino,
220,editions-peeters,{\'E}ditions Peeters,Éditions Peeters,
221,editions-pleins-feux,{\'E}ditions Pleins Feux,Éditions Pleins Feux,
222,editions-ressources,{\'E}ditions Ressources,Éditions Ressources,
223,editions-rieder,{\'E}ditions Rieder,Éditions Rieder,
224,editions-universitaires-fribourg,{\'E}ditions universitaires [Fribourg],Éditions universitaires [Fribourg],
225,editions-universitaires-paris,{\'E}ditions universitaires [Paris],Éditions universitaires [Paris],
226,editions-universitaires-de-dijon,{\'E}ditions universitaires de Dijon,Éditions universitaires de Dijon,
227,editions-universitaires-du-sud,{\'E}ditions Universitaires du Sud,Éditions Universitaires du Sud,
228,obvhpt,"{\""o}bv\&hpt",öbv&hpt,
229,acm-press,{ACM} Press,ACM Press,
230,csli-publications,{CSLI} Publications,CSLI Publications,
231,ieee-computer-science-press,{IEEE} Computer Science Press,IEEE Computer Science Press,
232,illc-publications,{ILLC} Publications,ILLC Publications,
233,jai-press,{JAI} Press,JAI Press,
234,utet-libreria,{UTET} Libreria,UTET Libreria,
235,phobus-kommissionsverlag-dr-viktor-pimmer,"\,``Ph{\""o}bus'' Kommissionsverlag Dr.~Viktor Pimmer",“Phöbus” Kommissionsverlag Dr. Viktor Pimmer,
236,a-a-z-patrimoine-editions,A {\`a} Z Patrimoine {\'e}ditions,A à Z Patrimoine éditions,
237,a-l-orient,A l'Orient,A l'Orient,
238,ar-editions,A-R Editions,A-R Editions,
239,a-bell-e-castle-s-buckley,"A.~Bell, E.~Castle, S.~Buckley","A. Bell, E. Castle, S. Buckley",
240,a-deutsch,A.~Deutsch,A. Deutsch,
241,a-essenhart,A.~Essenhart,A. Essenhart,
242,a-gerits-son-bv,A.~Gerits \& Son B.V.,A. Gerits & Son B.V.,
243,a-haase,A.~Haase,A. Haase,
244,a-henn-verlag,A.~Henn Verlag,A. Henn Verlag,
245,a-joanin,A.~Joanin,A. Joanin,
246,a-kincaid-j-bell,A.~Kincaid \& J.~Bell,A. Kincaid & J. Bell,
247,a-marcus,A.~Marcus,A. Marcus,
248,a-millar,A.~Millar,A. Millar,
249,ac-fifield,A.C.~Fifield,A.C. Fifield,
250,af-formiggini,A.F.~Form{\'{\i}}ggini,A.F. Formíggini,
251,ak-peters,A.K.~Peters,A.K. Peters,
252,an-sakkoulas-juristischer-verlag,A.N.~Sakkoulas Juristischer Verlag,A.N. Sakkoulas Juristischer Verlag,
253,aw-hayn,A.W.~Hayn,A.W. Hayn,
254,aaron-rhames,Aaron Rhames,Aaron Rhames,
255,abaris-books,Abaris Books,Abaris Books,
256,abcclio,ABC-CLIO,ABC-CLIO,
257,aberdeen-university-press,Aberdeen University Press,Aberdeen University Press,
258,ablex-publishing-co,Ablex Publishing Co.,Ablex Publishing Co.,
259,academia-verlag,Academia Verlag,Academia Verlag,
260,academic-press,Academic Press,Academic Press,
261,academic-press-fribourg,Academic Press Fribourg,Academic Press Fribourg,
262,academic-printing-publishing,Academic Printing \& Publishing,Academic Printing & Publishing,
263,accademia-ligure-di-scienze-e-lettere,Accademia Ligure di Scienze e Lettere,Accademia Ligure di Scienze e Lettere,
264,acco,Acco,Acco,
265,acta-universitatis-gothoburgensis,Acta Universitatis Gothoburgensis,Acta Universitatis Gothoburgensis,
266,actes-sud,Actes Sud,Actes Sud,
267,acumen-publishing,Acumen Publishing,Acumen Publishing,
268,ad-solem,Ad Solem,Ad Solem,
269,adam-and-charles-black,Adam {and} Charles Black,Adam and Charles Black,
270,adam-hilger,Adam Hilger,Adam Hilger,
271,addison-wesley-longman,Addison Wesley Longman,Addison Wesley Longman,
272,addison-wesley,Addison-Wesley,Addison-Wesley,
273,adolf-m-hakkert,Adolf M.~Hakkert,Adolf M. Hakkert,
274,adora,Adora,Adora,
275,adpf-publication-association-pour-la-diffusion-de-la-pensee-francaise,ADPF-Publication (Association pour la diffusion de la pens{\'e}e fran{\c{c}}aise),ADPF-Publication (Association pour la diffusion de la pensée française),
276,agone-editeur,Agone {\'E}diteur,Agone Éditeur,
277,akademia-kiado,Akad{\'e}mia Kiad{\'o},Akadémia Kiadó,
278,akademie-verlag,Akademie Verlag,Akademie Verlag,
279,akademische-druck-und-verlagsanstalt,Akademische Druck- und Verlagsanstalt,Akademische Druck- und Verlagsanstalt,
280,akademische-verlagsbuchhandllung-von-jcb-mohr,Akademische Verlagsbuchhandllung von J.C.B.~Mohr,Akademische Verlagsbuchhandllung von J.C.B. Mohr,
281,al-dante,Al Dante,Al Dante,
282,albert-bonniers-forlag-ab,"Albert Bonniers f{\""o}rlag AB",Albert Bonniers förlag AB,
283,albert-r-graves,Albert R.~Graves,Albert R. Graves,
284,albin-michel,Albin Michel,Albin Michel,
285,alden-press,Alden Press,Alden Press,
286,aldershot,Aldershot,Aldershot,
287,aldine-de-gruyter,Aldine de Gruyter,Aldine de Gruyter,
288,aldine-atherton-press,Aldine-Atherton Press,Aldine-Atherton Press,
289,aldus,Aldus,Aldus,
290,alexander-verlag,Alexander Verlag,Alexander Verlag,
291,alfred-a-knopf,Alfred A.~Knopf,Alfred A. Knopf,
292,alfred-holder,"Alfred H{\""o}lder",Alfred Hölder,
293,alfred-kroner-verlag,"Alfred Kr{\""o}ner Verlag",Alfred Kröner Verlag,
294,alfred-mudge-son,Alfred Mudge \& Son,Alfred Mudge & Son,
295,algora-publishing,Algora Publishing,Algora Publishing,
296,algorithmics-press,Algorithmics Press,Algorithmics Press,
297,alianza,Alianza,Alianza,
298,alice,Alice,Alice,
299,alinea,Alin{\'e}a,Alinéa,
300,alinea-editrice,Alinea editrice,Alinea editrice,
301,allen-lane,Allen Lane,Allen Lane,
302,allia,Allia,Allia,
303,alliance-book-corp,Alliance Book Corp.,Alliance Book Corp.,
304,allyn-and-bacon,Allyn {and} Bacon,Allyn and Bacon,
305,almagesto,Almagesto,Almagesto,
306,almqvist-wiksell,Almqvist \& Wiksell,Almqvist & Wiksell,
307,alphee,Alph{\'e}e,Alphée,
308,alternatives,Alternatives,Alternatives,
309,alvik,Alvik,Alvik,
310,amagi-liberty-fund,"Amagi, Liberty Fund","Amagi, Liberty Fund",
311,american-mathematical-society,American Mathematical Society,American Mathematical Society,
312,american-philosophical-association,American Philosophical Association,American Philosophical Association,
313,american-psychiatric-press,American Psychiatric Press,American Psychiatric Press,
314,american-psychological-association,American Psychological Association,American Psychological Association,
315,american-university,American University,American University,
316,american-university-studies,American University Studies,American University Studies,
317,amsterdam-university-press,Amsterdam University Press,Amsterdam University Press,
318,analytic-press,Analytic Press,Analytic Press,
319,anatupon,Anatupon,Anatupon,
320,anchor-books,Anchor Books,Anchor Books,
321,andrew-millar-of-the-strand,Andrew Millar of the Strand,Andrew Millar of the Strand,
322,angelo-signorelli-editore,Angelo Signorelli Editore,Angelo Signorelli Editore,
323,anthem-press,Anthem Press,Anthem Press,
