bibkey,note_perso,note_stock,note_missing,change_request,dltc_copyediting_note,todo_general
aceti:2005,,in file \citep{tymieniecka:2005b},,,,
acevedo_b:2022,,in file \citep{pismenny-brogaard:2022},,,,
ach_js:2018,,in file \citep{mueller_and-schaber:2018},,,,
achard_m:2007,,in file \citep{geeraerts-cuyckens:2007},,,,
acharya_bd-joshi:2011,,in file \citep{vanbenthem-etal:2011},,,,
achinstein:1965a,,in file \citep{achinstein:2010},,,,
achinstein:1967,,in file \citep{cohen_rs-wartofsky:1967},,,,
achinstein:1968,GE,,,,,
achinstein:1970,,file,,,,
achinstein:1970a,,in file \citep{achinstein:1970},,,,
achinstein:1973,,in file \citep{suppes-etal:1973},,,,
achinstein:1974,,in file \citep{suppe:1974},,,,
achinstein:1974a,,file,,,DIAL,
achinstein:1975,in GE,,,,,
achinstein:1975a,in GE,,,,,
achinstein:1977,,in file \citep{achinstein:2010},,,,
achinstein:1980,,in file \citep{nickles_t:1980},,,,
achinstein:1981,,in file \citep{achinstein:2010},,,,
achinstein:1982,,file,,,,
achinstein:1984,,in file \citep{midwest:1984},,,,
achinstein:1985,,in file \citep{achinstein:2010},,,,
achinstein:1986,,in file \citep{achinstein:1991},,,,
achinstein:1987,,in file \citep{achinstein:1991},,,,
achinstein:1987a,,in file \citep{achinstein:1991},,,,
achinstein:1990,,in file \citep{achinstein:1991},,,,
achinstein:1990a,,in file \citep{achinstein:1991},,,,
achinstein:1991,,file,,,,
achinstein:1991a,,in file \citep{achinstein:1991},,,,
achinstein:1991b,,in file \citep{achinstein:1991},,,,
achinstein:1991c,,in file \citep{achinstein:1991},,,,
achinstein:1991d,,in file \citep{achinstein:1991},,,,
achinstein:1991e,,in file \citep{achinstein:1991},,,,
achinstein:1991f,,in file \citep{achinstein:1991},,,,
achinstein:1993a,,in file \citep{achinstein:2010},,,,
achinstein:1994,,in file \citep{achinstein:2010},,,,
achinstein:1994a,,in file \citep{achinstein:2010},,,,
achinstein:1997,,in file \citep{dallachiara-etal:1997a},,,,
achinstein:2000,,in file \citep{achinstein:2010},,,,
achinstein:2000a,,in file \citep{fetzer_jh:2000},,,,
achinstein:2001,,file,,,,
achinstein:2001a,,in file \citep{achinstein:2010},,,,
achinstein:2001b,,"in file \citep{achinstein:2010},in file \citep{buchwald_jz-warwick:2001}",,,,
achinstein:2001c,,in file \citep{newtonsmith:2001},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9781405164481,,
achinstein:2002,,in file \citep{achinstein:2010},,,,
achinstein:2008,,in file \citep{psillos-curd:2008},,,,
achinstein:2010,GE,file,,,,
achinstein:2010a,,in file \citep{achinstein:2010},,,,
achinstein:2010b,,in file \citep{achinstein:2010},,,,
achinstein:2010c,,in file \citep{achinstein:2010},,,,
achinstein:2010d,,in file \citep{achinstein:2010},,,,
achinstein:2011,,in file \citep{bernecker-pritchard:2011},,,,
achinstein:2013,,,,WP4-GET-PDF (ISBN:9780199921850 / 9780199332892,,
achinstein:2018,,,,WP4-GET-PDF (ISBN:9780190615055 / 9780190615086,,
achinstein:2024,,in file \citep{lasonenaarnio-littlejohn:2024},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.4324/9781315672687,,
achourioti-etal:2015,,file,,,,
achourioti-etal:2015a,,in file \citep{achourioti-etal:2015},,,,
achtenberg:1991,,in file \citep{anton_jp-preus:1991},,,,
achutti-etal:2021,,in file \citep{coyle_mj-scott:2021},,,,
acik:2011,,in file \citep{tymieniecka:2011b},,,,
aciman:1991,,in file \citep{kronegger:1991},,,,
ackerly:2000,,file,,,,
ackerly:2009,,file,,,,
ackerman_a:2003,,in file \citep{frank_dh-leaman:2003},,,,
ackerman_a:2009,,in file \citep{nadler_sm-rudavsky:2009},,,,
ackerman_b:1980a,,file,,,,
ackerman_b:2011,,in file \citep{gosseries-vanderborght:2011},,,,
ackerman_d:1978,,file,,,,
ackerman_d:1979,y,,,,,
ackerman_d:1985,,in file \citep{tomberlin-vaninwagen:1985},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1007/978-94-009-5223-2,,
ackerman_d:1990,,file,,,,
ackerman_fe:1981,,in file \citep{midwest:1981},,,,
ackerman_fe:1989,y,in file \citep{almog-etal:1989},,,,
ackerman_fe:1989a,y,,,,,
ackerman_fe:1990,,file,,,,
ackerman_fe:1992,,in file \citep{ullmannmargalit:1992},,,,
ackerman_fe:1994,y,,,,,
ackerman_fe:1995b,y,in file \citep{savellos-yalcin:1995},,,,
ackerman_fe:2007,,in file \citep{steinbock_b:2007},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1093/oxfordhb/9780199562411.001.0001,,
ackerman_fe:2007a,,in file \citep{rhodes_r-etal:2007},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1002/9780470690932,,
ackerman_fe:2018,,in file \citep{boonin_d:2018},,,,
ackerman_g:2016,,file,,,,
ackerman_j:2010,,in file \citep{kallendorf_h:2010},,,,
ackerman_r-thompson:2018,,in file \citep{ball_lj-thompson:2018},,,,
ackermann_r:1967a,,in file \citep{rescher:1967},,,,
ackermann_r:1969,,file,,,,
ackermann_r:1969b,y,,,,,
ackermann_r:1969c,,in file \citep{davis_jw-etal:1969},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1007/978-94-010-9614-0,,
ackermann_r:1969d,,in file \citep{davis_jw-etal:1969},,WP9-GET-DOI-FOR-BOOK-CHAPTER-DOI-OF-EDITED-VOLUME-IS: 10.1007/978-94-010-9614-0,,
ackermann_r:1969e,,file,,,,
ackermann_r:1972,in GE,,,,,
ackermann_r:1974,in GE,,,,,
ackermann_r:1982,y,,,,,
ackermann_r:1991a,,in file \citep{mahalingamcarr-carr:1991},,,,
ackermann_w:1928,,in file \citep{vanheijenoort:1967},,,,
ackermann_w:1954,,file,,,,
ackermann_w:1956,y,file,,,,
ackermann_w:1958,y,file,,,,
ackermann_w:1961,in GE,in file \citep{barhillel-etal:1961},,,,
ackrill:1963,X,file,,,,
ackrill:1965,,"in file \citep{bambrough_r:1965},in file \citep{ackrill:1997}",,,,
ackrill:1966,,in file \citep{ackrill:1997},,,,
ackrill:1970,,"in file \citep{wood_op-pichter:1970},in file \citep{ackrill:1997}",,,,
