id,series_key,name_latex,name_unicode
901,epimeleia,Epimeleia,Epimeleia
902,studies_on_the_faculty_of_arts_history_and_influence,Studies on the Faculty of Arts.~History and Influence,Studies on the Faculty of Arts. History and Influence
903,argumentation_theory,Argumentation Theory,Argumentation Theory
904,erfahrung_und_denken,Erfahrung und Denken,Erfahrung und Denken
905,clarendon_library_of_logic_and_philosophy,Clarendon Library of Logic and Philosophy,Clarendon Library of Logic and Philosophy
906,basler_studien_zur_rechtswissenschaft_reihe_d_grundlagen,Basler Studien zur Rechtswissenschaft.~Reihe D -- Grundlagen,Basler Studien zur Rechtswissenschaft. Reihe D – Grundlagen
907,biblioth_e_que_des_philosophies,Biblioth{\'e}que des Philosophies,Bibliothéque des Philosophies
908,philosophische_bibliothek,Philosophische Bibliothek,Philosophische Bibliothek
909,medieval_and_early_modern_philosophy,Medieval and Early Modern Philosophy,Medieval and Early Modern Philosophy
910,les_carnets_spirituels,Les carnets spirituels,Les carnets spirituels
911,husserliana_huss,Husserliana [HUSS],Husserliana [HUSS]
912,philosophie_imaginaire,Philosophie imaginaire,Philosophie imaginaire
913,biblioth_e_que_de_la_philosophie_du_droit,Biblioth{\`e}que de la Philosophie du droit,Bibliothèque de la Philosophie du droit
914,patrimoines_religions_du_livre,Patrimoines.~Religions du Livre,Patrimoines. Religions du Livre
915,philosophie_d_aujourd_hui,Philosophie d'aujourd'hui,Philosophie d'aujourd'hui
916,oxford_studies_in_the_philosophy_of_science,Oxford Studies in the Philosophy of Science,Oxford Studies in the Philosophy of Science
917,mathematik_im_kontext,Mathematik im Kontext,Mathematik im Kontext
918,fenomenologia_e_ontologia_sperimentale,Fenomenologia e ontologia sperimentale,Fenomenologia e ontologia sperimentale
919,studien_zur_o_sterreichischen_philosophie,"Studien zur {\""o}sterreichischen Philosophie",Studien zur österreichischen Philosophie
920,kungl_vitterhetsakademien_kvhaa,Kungl.~Vitterhetsakademien (KVHAA),Kungl. Vitterhetsakademien (KVHAA)
921,perspectives_in_pragmatics_philosophy_psychology,"Perspectives in Pragmatics, Philosophy \& Psychology","Perspectives in Pragmatics, Philosophy & Psychology"
923,travaux_du_centre_europ_e_en_pour_l_etude_de_la_filiation,Travaux du Centre Europ{\'e}en pour l'Etude de la Filiation,Travaux du Centre Européen pour l'Etude de la Filiation
924,dresdner_hefte_f_u_r_philosophie,"Dresdner Hefte f{\""u}r Philosophie",Dresdner Hefte für Philosophie
925,library_of_exact_philosophy,Library of Exact Philosophy,Library of Exact Philosophy
926,dix_septi_e_me_si_e_cle,Dix-septi{\`e}me si{\`e}cle,Dix-septième siècle
927,western_philosophy_series,Western philosophy series,Western philosophy series
928,women_in_the_history_of_philosophy_and_sciences,Women in the History of Philosophy and Sciences,Women in the History of Philosophy and Sciences
929,great_books_in_philosophy,Great Books in Philosophy,Great Books in Philosophy
930,l_ordre_philosophique,L'Ordre philosophique,L'Ordre philosophique
