id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
145667,incollection,sainsbury:1993,,,1993,,Russell on Names and Communication,Russell on Names and Communication,,,,,,,3--21,,,,,,,,,Reprinted in \citet[85--101]{sainsbury:2002},Reprinted in,,,,,,,,,,false,,sainsbury,,,1:reference;2:names
145668,book,sainsbury:1995,,,1995,,Paradoxes,Paradoxes,,,,,,,,,,Cambridge,,,cambridge-university-press,,2,,,,,,,,,,,,false,,sainsbury,,,1:argumentation;2:paradoxes
145669,article,sainsbury:1995a,,,1995,,Why the World Could Not Be Vague,Why the World Could Not Be Vague,,,,the-southern-journal-of-philosophy,33,suppl.,63--82,,,,,,,,,,,Spindel Conference 1994: Vagueness,Spindel Conference 1994: Vagueness,,,,,,,,false,,sainsbury,,horgan_te,1:vagueness;2:ontic_vagueness
145670,article,sainsbury:1995b,,,1995,,"Vagueness, Ignorance and Margin for Error; Critical Notice of \citet{williamson_t:1994}","Vagueness, Ignorance and Margin for Error; Critical Notice of Williamson (1994)",,,,the-british-journal-for-the-philosophy-of-science,46,,589--601,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:vagueness
145671,article,sainsbury:1996,,,1996,,Review of \citet{wright_c:1992},Review of Wright (1992),,,,philosophy-and-phenomenological-research,56,,899--904,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:metaphysics
145672,incollection,sainsbury:1996a,,,1996,,How Can Some Thing Say Something?,How Can Some Thing Say Something?,,,,,,,137--153,,,,,,,,,Reprinted in \citet[102--111]{sainsbury:2002},Reprinted in,,,,,,,,,,false,,sainsbury,,,1:properties;2:internal_external_properties
145673,book,sainsbury:1997,,,1997,,Thought and Ontology,Thought and Ontology,Thought and Ontology,Thought and Ontology,,,,,,,,Milano,,,franco-angeli,,,,,,,,,,,,,,false,,,sainsbury,,1:reference
145674,article,sainsbury:1997b,,,1997,,Easy Possibilities,Easy Possibilities,,,,philosophy-and-phenomenological-research,57,4,907--919,,,,,,,,,Reprinted in \citet[112--124]{sainsbury:2002},Reprinted in,,,,,,,,,,false,,sainsbury,,,1:properties;2:internal_external_properties
145675,incollection,sainsbury:1997c,,,1997,,Reporting Indexicals,Reporting Indexicals,,,,,,,161--177,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:reference;2:indexicals
145676,article,sainsbury:1998,,,1998,,Projections and Relations,Projections and Relations,,,,the-monist,81,1,133--160,,,,,,,,,,,,,,,,,,,,false,,sainsbury,,,1:properties;2:internal_external_properties
