id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
33358,incollection,collins_g-etal:1989,,,1989,,An Adaptive Model of Decision-Making in Planning,An Adaptive Model of Decision-Making in Planning,,,,,,,511--516,,,,,,,,,,,,,,,,,,,,false,,collins_g;birnbaum_l;krulwich,,,1:action;2:planning
33359,book,collins_gm:2020,,,2020,,Commerce and Manners in Edmund Burke's Political Economy,Commerce and Manners in Edmund Burke's Political Economy,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781108776813,,,false,,collins_gm,,,
33360,article,collins_h-etal:2016,,,2016,,"Expertise Revisited, Part II: Contributory Expertise","Expertise Revisited, Part II: Contributory Expertise",,,,studies-in-history-and-philosophy-of-science,56,,103--110,,,,,,,,,,,,,,,,,,,,false,,collins_h;evans_ro;weinel_m,,,1:epistemology;2:testimony;3:experts
33361,book,collins_h-evans:2007,,,2007,,Rethinking Expertise,Rethinking Expertise,,,,,,,,,,"Chicago, Illinois",,,university-of-chicago-press,,,,,,,,,,,,,,false,,collins_h;evans_ro,,,1:aesthetics;2:aesthetic_judgement;3:aesthetic_experts
33362,article,collins_h-evans:2015,,,2015,,"Expertise Revisited, Part I -- Interactional Expertise","Expertise Revisited, Part I – Interactional Expertise",,,,studies-in-history-and-philosophy-of-science,54,,113--123,,,,,,,,,,,,,,,,,,,,false,,collins_h;evans_ro,,,1:epistemology;2:testimony;3:experts
33363,article,collins_h:2007,,,2007,,Mathematical Understanding and the Physical Sciences,Mathematical Understanding and the Physical Sciences,,,,studies-in-history-and-philosophy-of-science,38,4,667--685,,,,,,,,,,,,,,,,,,,,false,,collins_h,,,1:explanation;2:explanation_in_mathematics
33364,incollection,collins_h:2009,,,2009,,Social Construction of Science,Social Construction of Science,,,,,,,84--87,,,,,,,,,,,,,,,,,,,,false,,collins_h,,,1:science;2:sociology_of_science
33365,book,collins_h:2010,,,2010,,Tacit and Explicit Knowledge,Tacit and Explicit Knowledge,,,,,,,,,,"Chicago, Illinois",,,university-of-chicago-press,,,,,,,,,,,,,,false,,collins_h,,,1:knowledge;2:tacit_knowledge
33366,book,collins_h:2011,,,2011,,Gravity's Ghost and Big Dog: Scientific Discovery and Social Analysis in the Twenty-First Century,Gravity's Ghost and Big Dog: Scientific Discovery and Social Analysis in the Twenty-First Century,,,,,,,,,,"Chicago, Illinois",,,university-of-chicago-press,,,,,,,,,,,,,,false,,collins_h,,,1:political_philosophy
33367,incollection,collins_h:2017,,,2017,,Interactional Expertise and Embodiment,Interactional Expertise and Embodiment,,,,,,,125--146,,,,,,,,,,,,,,,,,,,,false,,collins_h,,,1:knowledge;2:knowing_how
33368,book,collins_h:2018,,,2018,,Artifictional Intelligence,Artifictional Intelligence,,,,,,,,,,Chichester,,,wiley-blackwell,,,,,,,,,,,,,,false,,collins_h,,,1:ai
33369,article,collins_h:2018a,,,2018,,Gravitational Waves and Scientific Realism,Gravitational Waves and Scientific Realism,,,,spontaneous-generations-a-journal-for-the-history-and-philosophy-of-science,9,1,38--41,,,,,,,,,,,,,,,,,,,,false,,collins_h,,,1:science;2:scientific_realism
33370,book,collins_hm:1990,,,1990,,Artificial Experts: Social Knowledge and Intelligent Machines,Artificial Experts: Social Knowledge and Intelligent Machines,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,,false,,collins_hm,,,1:ai;2:foundations_of_ai
33371,article,collins_hm:1996,,,1996,,Review of \citet{dreyfus_hl:1992},Review of Dreyfus (1992),,,,artificial-intelligence,80,1,99--117,,,,,,,,,,,,,,,,,,,,false,,collins_hm,,,1:ai;2:foundations_of_ai
33372,article,collins_hm:2002,,,2002,,The Experimenter's Regress as Philosophical Sociology,The Experimenter's Regress as Philosophical Sociology,,,,studies-in-history-and-philosophy-of-science,33,1,149--156,,,,,,,,,,,,,,,,,,,,false,,collins_hm,,,1:science;2:experimentation
33373,article,collins_hm:2003,,,2003,,Lead into Gold: The Science of Finding Nothing,Lead into Gold: The Science of Finding Nothing,,,,studies-in-history-and-philosophy-of-science,34,4,661--691,,,,,,,,,,,,,,,,,,,,false,,collins_hm,,,1:science
33374,incollection,collins_hu:2018,,,2018,,Discrimination and the Private Sphere,Discrimination and the Private Sphere,,,,,,,360--368,,,,,,,,,,,,,,,,,,,,false,,collins_hu,,,1:political_philosophy;2:discrimination
33375,incollection,collins_j-etal:2009,,,2009,,Lorentz Invariance Violation and its Role in Quantum Gravity Phenomenology,Lorentz Invariance Violation and its Role in Quantum Gravity Phenomenology,,,,,,,528--547,,,,,,,,,,,,,,,,,,,,false,,collins_jo;perez_a;sudarsky_d,,,1:quantum_mechanics
33376,article,collins_ja:1948,,,1948,,Mr.~Lewis and the A Priori,Mr. Lewis and the A Priori,,,,the-journal-of-philosophy,45,21,561--572,,,,,,,,,,,,,,,,,,,,false,,collins_ja,,,1:epistemology;2:a_priori
33377,book,collins_jad:1971,,,1971,,Descartes' Philosophy of Nature,Descartes' Philosophy of Nature,,,,,,5,,,american_philosophical_quarterly_monograph_series,Oxford,,,basil-blackwell-publishers,,,,,,,,,,,,,,false,,collins_jad,,,1:history_of_philosophy
33378,incollection,collins_jer-wilson:1994,,,1994,,The Broken Allegory: Doris Lessing's \emph{The Fifth Child} as Narrative Theodicy,The Broken Allegory: Doris Lessing's The Fifth Child as Narrative Theodicy,,,,,,,277--292,,,,,,,,,,,,,,,,,,,,false,,collins_jer;wilson_rj,,,1:aesthetics;2:literary_criticism
33379,incollection,collins_jer-zbikowski:2005,,,2005,,Literature as the Laboratory of the Moral Life: Building Moral Communities Through Literary Study,Literature as the Laboratory of the Moral Life: Building Moral Communities Through Literary Study,,,,,,,845--864,,,,,,,,,,,,,,,,,,,,false,,collins_jer;zbikowski_j,,,
33380,incollection,collins_jer:2009,,,2009,,Time after Time: The Temporality of Human Existence in Faulkner's \emph{The Sound and the Fury},Time after Time: The Temporality of Human Existence in Faulkner's The Sound and the Fury,,,,,,,259--284,,,,,,,,,,,,,,,,,,,,false,,collins_jer,,,1:aesthetics;2:literary_criticism
