id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
49894,article,everson:2004,,,2004,,In Defence of Ungrounded Desires: Against Raz's Classical Account of Agency,In Defence of Ungrounded Desires: Against Raz's Classical Account of Agency,,,,european-journal-of-philosophy,12,3,283--303,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:action;2:motivation
49895,article,everson:2007,,,2007,,Belief in Make-Believe,Belief in Make-Believe,,,,european-journal-of-philosophy,15,1,63--81,,,,,,,,,,,,,,,,,,,,false,,everson,,,2:imagination
49896,incollection,everson:2009,,,2009,,What are Reasons for Action?,What are Reasons for Action?,,,,,,,22--47,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:action;2:reasons_for_action
49897,incollection,everson:2010,,,2010,,Motivating Reasons,Motivating Reasons,,,,,,,145--152,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:action;2:motivation
49898,incollection,everson:2011,,,2011,,Justice and Just Action in Plato's \emph{Republic},Justice and Just Action in Plato's Republic,,,,,,,249--276,,,,,,,,,,,,,,,,,,,,false,,everson,,,1:political_philosophy
49899,incollection,everuss:2021,,,2021,,The New Mobilities Paradigm and Social Theory,The New Mobilities Paradigm and Social Theory,,,,,,,287--305,,,,,,,,,,,,,,,,,,,,false,,everuss,,,1:structuralism;2:post_structuralism
49900,techreport,evett-etal:1990,,,1990,,Parallel Knowledge Representation on the Connection Machine,Parallel Knowledge Representation on the Connection Machine,,,,,,cs--tr--2409,,,,"College Park, Maryland",computer_science_department_university_of_maryland,,,,,,,,,,,,,,,,false,,evett;hendler_ja;spector_l,,,1:logic;2:nonmonotonic_logic;3:inheritance_theory
49901,incollection,evink:2006,,,2006,,Pato{\v{c}}ka and Derrida on Responsibility,Patočka and Derrida on Responsibility,,,,,,,307--322,,,,,,,,,,,,,,,,,,,,false,,evink,,,
49902,article,evnine:1989,,,1989,,Understanding Madness?,Understanding Madness?,,,,ratio,2,,1--18,,,,,,,,,,,,,,,,,,,,false,,evnine,,,1:skepticism;2:doubting
49903,article,evnine:1993,,,1993,,"Hume, Conjectural History, and the Uniformity of Human Nature","Hume, Conjectural History, and the Uniformity of Human Nature",,,,journal-of-the-history-of-philosophy,31,4,589--606,,,,,,,,,,,,,,,,,,,,false,,evnine,,,1:social_sciences;2:anthropology
49904,article,evnine:2001,,,2001,,The Universality of Logic,The Universality of Logic,,,,mind,110,,,,,,,,,,,,,,,,,,,,,,false,,evnine,,,1:logic;2:nature_of_logic
49905,article,evnine:2005,,,2005,,"Containing Multitudes: Reflection, Expertise and Persons as Groups","Containing Multitudes: Reflection, Expertise and Persons as Groups",,,,episteme,2,1,57--64,,,,,,,,,,,,,,,,,,,,false,,evnine,,,1:epistemology;2:collective_epistemology
49906,book,evnine:2008,,,2008,,Epistemic Dimensions of Personhood,Epistemic Dimensions of Personhood,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199239948.001.0001,,,false,,evnine,,,1:epistemology
49907,article,evnine:2008a,,,2008,,Modal Epistemology: Our Knowledge of Necessity and Possibility,Modal Epistemology: Our Knowledge of Necessity and Possibility,,,,philosophy-compass,3,4,664--684,,,,,,,,,,,,,,,,,,,,false,,evnine,,,1:modality;2:modal_epistemology
49908,article,evnine:2008b,,,2008,,Kinds and Conscious Experience: Is There Anything That It is like to Be Something?,Kinds and Conscious Experience: Is There Anything That It is like to Be Something?,,,,metaphilosophy,39,2,185--202,,,,,,,,,,,,,,,,,,,,false,,evnine,,,1:perception;2:phenomenal_properties;3:qualia
49909,article,evnine:2009,,,2009,,Constitution and Qua Objects in the Ontology of Music,Constitution and Qua Objects in the Ontology of Music,,,,the-british-journal-of-aesthetics,49,3,203--217,,,,,,,,,,,,,,,,,,,,false,,evnine,,,1:exemplification;2:qua_objects
49910,article,evnine:2010,,,2010,,Constitution and Composition: Three Approaches to Their Relation,Constitution and Composition: Three Approaches to Their Relation,,,,protosociology,27,,1--24,,,,,,,,,,,,,,,,,,,,false,,evnine,,,1:exemplification;2:qua_objects
