id,school_key,name_latex,name_unicode
180,marquette_university,Marquette University,Marquette University
181,philosophy_department_university_of_new_england,"Philosophy Department, University of New England","Philosophy Department, University of New England"
182,philosophy_department_middle_east_technical_university,"Philosophy Department, Middle East Technical University","Philosophy Department, Middle East Technical University"
183,computer_science_department_university_of_michigan,"Computer Science Department, University of Michigan","Computer Science Department, University of Michigan"
184,linguistics_department_university_of_texas_at_austin,"Linguistics Department, University of Texas at Austin.","Linguistics Department, University of Texas at Austin."
185,massachusetts_institute_of_technology_artificial_intelligence_laboratory,"Massachusetts Institute of Technology, Artificial Intelligence Laboratory","Massachusetts Institute of Technology, Artificial Intelligence Laboratory"
186,philosophy_department_wayne_state_university,"Philosophy Department, Wayne State University","Philosophy Department, Wayne State University"
187,philosophy_department_university_of_western_ontario,"Philosophy Department, University of Western Ontario","Philosophy Department, University of Western Ontario"
188,universit_a_t_heidelberg,"Universit{\""a}t Heidelberg",Universität Heidelberg
189,philosophy_department_durham_university,"Philosophy Department, Durham University","Philosophy Department, Durham University"
190,department_of_computing_macquarie_university,"Department of Computing, Macquarie University","Department of Computing, Macquarie University"
191,philosophy_department_university_of_massachusetts_amherst,"Philosophy Department, University of Massachusetts, Amherst","Philosophy Department, University of Massachusetts, Amherst"
192,harvard_university_department_of_philosophy,"Harvard University, Department of Philosophy","Harvard University, Department of Philosophy"
193,philosophy_department_university_of_south_florida,"Philosophy Department, University of South Florida","Philosophy Department, University of South Florida"
194,linguistics_department_university_of_california,"Linguistics Department, University of California","Linguistics Department, University of California"
195,erasmus_universiteit,Erasmus Universiteit,Erasmus Universiteit
196,philosophische_fakult_a_t_universit_a_t_jena,"Philosophische Fakult{\""a}t, Universit{\""a}t Jena","Philosophische Fakultät, Universität Jena"
197,rijksuniversiteit_groningen,Rijksuniversiteit Groningen,Rijksuniversiteit Groningen
198,concordia_university,Concordia University,Concordia University
199,centre_for_medieval_studies,Centre for Medieval Studies,Centre for Medieval Studies
200,department_of_history_and_philosophy_of_science_indiana_university,"Department of History and Philosophy of Science, Indiana University","Department of History and Philosophy of Science, Indiana University"
201,university_of_edinburgh_departement_of_philosophy,"University of Edinburgh, Departement of Philosophy","University of Edinburgh, Departement of Philosophy"
202,oxford_university_computing_laboratory,Oxford University Computing Laboratory,Oxford University Computing Laboratory
203,institut_f_u_r_computerlinguistik,"Institut f{\""u}r Computerlinguistik",Institut für Computerlinguistik
204,department_of_computer_science_stanford_university,"Department of Computer Science, Stanford University","Department of Computer Science, Stanford University"
205,philosophy_department_darwin_college_university_of_cambridge,"Philosophy Department, Darwin College, University of Cambridge","Philosophy Department, Darwin College, University of Cambridge"
206,department_of_computer_and_information_science_link_o_ping_university,"Department of Computer and Information Science, Link{\""o}ping University","Department of Computer and Information Science, Linköping University"
207,universit_e_de_paris,Universit{\'e} de Paris,Université de Paris
208,university_of_pittsburgh,University of Pittsburgh,University of Pittsburgh
209,facult_e_des_sciences,Facult{\'e} des Sciences,Faculté des Sciences
210,philosophy_department_university_of_maryland,"Philosophy Department, University of Maryland","Philosophy Department, University of Maryland"
211,massachusetts_institute_of_technology_department_of_philosophy,"Massachusetts Institute of Technology, Department of Philosophy","Massachusetts Institute of Technology, Department of Philosophy"
212,philosophy_department_university_of_manchester,"Philosophy Department, University of Manchester","Philosophy Department, University of Manchester"
213,university_of_stanford,University of Stanford,University of Stanford
214,schletter_sche_buchhandlung,Schletter'sche Buchhandlung,Schletter'sche Buchhandlung
215,universidad_de_barcelona_departamento_de_l_o_gica_historia_y_filosof_i_a_de_la_ciencia,"Universidad de Barcelona, Departamento de L{\'o}gica, Historia y Filosof{\'{\i}}a de la Ciencia","Universidad de Barcelona, Departamento de Lógica, Historia y Filosofía de la Ciencia"
216,philosophy_department_central_european_university,"Philosophy Department, Central European University","Philosophy Department, Central European University"
217,computer_science_department_university_of_pennsylvania,"Computer Science Department, University of Pennsylvania","Computer Science Department, University of Pennsylvania"
218,ruprecht_karls_universit_a_t,"Ruprecht-Karls-Universit{\""a}t",Ruprecht-Karls-Universität
219,university_of_rochester,University of Rochester,University of Rochester
220,universit_e_de_paris_i,Universit{\'e} de Paris I,Université de Paris I
221,philosophy_department_university_of_missouri_st_louis,"Philosophy Department, University of Missouri - St.~Louis","Philosophy Department, University of Missouri - St. Louis"
222,philosophy_department_georgetown_university,"Philosophy Department, Georgetown University","Philosophy Department, Georgetown University"
223,philosophy_department_california_state_university,"Philosophy Department, California State University","Philosophy Department, California State University"
224,leiden_university,Leiden University,Leiden University
225,intelligent_systems_program_university_of_pittsburgh,"Intelligent Systems Program, University of Pittsburgh","Intelligent Systems Program, University of Pittsburgh"
